2023-01-16 11:02:32,894 INFO [base.py(__init__:21)] - 正在初始化 driver: <appium.webdriver.webdriver.WebDriver (session="0cc7341a-eedf-4e72-9b3e-1dc5efb6880a")>
2023-01-16 11:02:38,898 INFO [base.py(base_click:43)] - 正在对：('xpath', "//*[@index='3' and @bounds='[540,1211][720,1280]']") 元素执行点击操作！
2023-01-16 11:02:38,898 INFO [base.py(base_find_element:33)] - 正在查找元素：('xpath', "//*[@index='3' and @bounds='[540,1211][720,1280]']")
2023-01-16 11:02:40,108 INFO [base.py(base_click:43)] - 正在对：('id', 'as0') 元素执行点击操作！
2023-01-16 11:02:40,108 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'as0')
2023-01-16 11:02:40,536 INFO [base.py(base_click:43)] - 正在对：('xpath', "//*[@index='0' and @bounds='[478,1177][547,1246]']") 元素执行点击操作！
2023-01-16 11:02:40,623 INFO [base.py(base_find_element:33)] - 正在查找元素：('xpath', "//*[@index='0' and @bounds='[478,1177][547,1246]']")
2023-01-16 11:02:41,691 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'ajy')
2023-01-16 11:02:42,715 INFO [base.py(base_input:55)] - 正在对：('id', 'ajy') 元素执行清空操作！
2023-01-16 11:02:46,956 INFO [base.py(base_input:57)] - 正在对：('id', 'ajy') 元素执行输入：18340812842@163.com 操作！
2023-01-16 11:02:53,230 INFO [base.py(base_click:43)] - 正在对：('id', 'ajy') 元素执行点击操作！
2023-01-16 11:02:53,230 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'ajy')
2023-01-16 11:02:57,980 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'aka')
2023-01-16 11:02:58,009 INFO [base.py(base_input:55)] - 正在对：('id', 'aka') 元素执行清空操作！
2023-01-16 11:02:58,907 INFO [base.py(base_input:57)] - 正在对：('id', 'aka') 元素执行输入：Mdhdhbbz 操作！
2023-01-16 11:03:03,831 INFO [base.py(base_click:43)] - 正在对：('id', 'bil') 元素执行点击操作！
2023-01-16 11:03:03,831 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'bil')
2023-01-16 11:03:05,530 INFO [base.py(base_click:43)] - 正在对：('id', 'y1') 元素执行点击操作！
2023-01-16 11:03:05,530 INFO [base.py(base_find_element:33)] - 正在查找元素：('id', 'y1')
2023-01-16 11:03:07,711 INFO [base.py(base_find_element:33)] - 正在查找元素：('xpath', "//*[@index='1' and @bounds='[615,1257][645,1278]']")
2023-01-16 11:03:08,036 INFO [base.py(base_get_text:81)] - 正在对：('xpath', "//*[@index='1' and @bounds='[615,1257][645,1278]']") 元素获取文本操作！，获取的文本值：我的
